Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"C1,C3",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,20uF,
2,C2,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,50uF,
3,P1,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,1,Signal_In,
4,P2,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,1,Signal_Out,
5,Q1,TO-92_Inline,1,BC548,
6,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,22k,
7,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,6.8k,
8,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4.7k,
9,R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1.8k,
10,P3,Banana_Jack_2Pin,1,PWR_Con,
